0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
RAMP2,TPM2,IGKV1-5,HSPA1A,CCL4,MALAT1,S100A8,CD8A,B2M,ZFP36,DCN,IGLC2,SLC39A6,KRT14,ANKRD30A,CD24,MS4A1,MGP,FTL,IGLV1-40,JCHAIN,CD24,VIM,AGR3,SLC39A6,IGKC,IGKC,MUCL1,S100A8,SCGB2A2,CALML5,IGKC
PLVAP,ACTA2,NDUFA4L2,B2M,HSPA1A,B2M,S100A9,CCL4,CXCL13,B2M,LUM,MZB1,AGR3,KRT17,MGP,MUCL1,CD74,KRT15,AIF1,CXCL10,GZMB,FDCSP,TPM2,ANKRD30A,DHRS2,MZB1,IGHG1,CALML5,S100A9,S100A1,MGP,MT-CO2
VWF,NDUFA4L2,CD24,ZFP36,XCL1,KLRB1,B2M,GZMH,TNFRSF4,CD40LG,COL1A2,DERL3,WFDC2,KRT5,RP11-206M11.7,RP11-206M11.7,CD79A,SLPI,FCER1G,CCL20,IRF8,MGP,FTL,TFPI2,MLLT4,JCHAIN,IGKV3-15,SCGB1B2P,S100P,CALML5,RARRES1,IGLC2
RNASE1,BGN,RGS5,CTLA4,IFNG,GPR171,FCER1G,B2M,IGKV1-5,VIM,C1S,IGHG1,MGP,C2orf40,SLC39A6,MT-CO2,BANK1,LTF,LYZ,FTL,LILRA4,CRABP1,COL6A1,PIP,AGR3,DERL3,IGKV3-20,CD24,KRT17,PIP,SAA1,IGLC3
EGFL7,COL18A1,IGKV3-11,TNFRSF4,ZNF683,GZMK,MALAT1,PRF1,CTLA4,KLRB1,COL1A1,JCHAIN,ANKRD30A,MYLK,AGR3,SLPI,CD79B,CRYAB,CD74,CD74,CD74,GABRP,FABP5,PHGR1,STC2,IGHG1,IGKV3-11,SCGB2B2,S100A7,SCGB1D2,CRYAB,BAMBI
HSPG2,RGS5,ACTA2,CD40LG,B2M,KLRD1,GZMB,CXCL13,TNFRSF18,FTH1,CTSK,IGLV2-14,ZG16B,MT1E,MT-CO2,C6orf203,VPREB3,SFRP1,CD68,IL1B,PLD4,CDKN2A,SERPINE1,ZG16B,IGKC,CD79A,IGKV1-9,SLPI,HMGB3,MT-CO2,SFRP1,TFPI
RAMP3,VIM,IGKV3-20,TNFRSF18,XCL2,GNLY,KRT81,GZMB,IGKV3-11,PASK,COL3A1,IGLC3,STC2,ACTA2,STC2,EGLN3,IRF8,CCL28,MS4A6A,FTH1,IRF4,FTH1,RP11-865I6.2,SLPI,ANKRD30A,IGHG3,IGHG4,DKK1,SERPINB3,SCGB2A1,CD24,CLU
VIM,CPE,MT-CO2,KLRB1,ZFP36,IGKC,S100A7,CD74,IGKV3-20,MAL,SFRP2,CD79A,CLU,TPM2,PIP,TFF3,ADAM28,GABRP,LST1,CCL2,LILRB4,UCHL1,BGN,WFDC2,FTH1,IGHA1,MZB1,ERBB2,FABP5,CD24,SLPI,APOD
CLDN5,TIMP3,BGN,FOXP3,GNLY,AC016831.7,CXCL8,CXCR6,KLRB1,PBX4,COL6A2,IGHG4,TFF3,CRYAB,FOXA1,SCD,ARHGAP24,CXCL2,FTH1,FABP4,FCER1G,NSMCE4A,COL1A2,S100P,GADD45G,IGHG4,IGKV4-1,HPD,KRT6A,CLU,KRT6B,IGHM
CALCRL,PPP1R14A,VIM,PBX4,CD8A,GZMB,KRT17,GZMK,SIRPG,SCML4,RARRES2,IGLV1-40,ERBB2,SFN,CD24,IGKV3-15,LINC00926,CD24,FCGR3A,RNASE1,C1orf186,MARCO,COL6A2,SCGB3A1,MGP,IGLL5,IGKV1-5,S100P,DEFB1,ZG16B,KRT15,CGA
